LAT,LONG,WAYPOINT,#Howl bouts per 30 min sample,roar bouts per hour,Anth Distance (m),Raw River Distance (m)
10.430834,-84.00403901,OHS7012,,2,0,56.82950973
10.43085697,-84.00409601,OHS7013,,4,3.233310658,53.01027534
10.43077902,-84.00404798,OHS7014,,0,0,52.57307376
10.43082202,-84.00412199,OHS7015,,0,6.814713247,48.48652837
10.43076703,-84.00404898,OHS7016,,0,0.620386876,51.74026465
10.43091497,-84.00404798,OHS7017,,0,0,60.96362089
10.43114296,-84.00433204,OHS7018,,2,0,49.0674671
10.431192,-84.00481601,OHS7019,,2,6.995750095,6.994241667
10.42435496,-84.00817196,OHS702,,0,651.1715981,678.0338816
10.43090399,-84.00411,OHS7020,,0,0,54.64040246
10.43084096,-84.00412099,OHS7021,,0,6.274744555,49.74968235
10.43089301,-84.00407203,OHS7022,,0,0,57.41864057
10.43092,-84.00408,OHS7023,,2,0,58.36434577
10.43127003,-84.00461703,OHS7024,,0,5.909111504,30.06058225
10.43131798,-84.00467302,OHS7025,,0,11.92773603,27.6802544
10.43132904,-84.00469498,OHS7026,,2,14.44354973,26.26378439
10.43140599,-84.00465701,OHS7027,,0,11.9211101,34.28906168
10.43125897,-84.00463999,OHS7028,,0,8.462531867,27.27742305
10.43209003,-84.00470898,OHS7029,,0,42.56889402,57.47620411
10.43687501,-84.01001799,OHS703,,0,128.2691953,128.3617345
10.43206397,-84.00474502,OHS7030,,2,41.30023766,52.87040993
10.43205801,-84.00474602,OHS7031,,0,40.74739619,52.48723946
10.432055,-84.00475097,OHS7032,,0,40.67741271,51.85358098
10.43204703,-84.00476497,OHS7033,,0,40.58962951,50.0882471
10.432157,-84.00473898,OHS7034,,2,50.64272561,56.36270778
10.43218902,-84.00467897,OHS7035,,2,52.38991682,63.66957191
10.43285396,-84.00463999,OHS7036,,0,86.64979807,86.63690449
10.43274701,-84.00454796,OHS7037,,0,93.52382531,93.51505795
10.43260703,-84.00480302,OHS7038,,0,62.68290716,62.65566154
