lat,lon,GPS waypoint for howl,Anth Distance (Perimeter + Camp),Raw River Distance,Length of howl bout in seconds,Howl number in bout,Howl number/minute
10.43218802,-84.00462901,OHH7170,51.45073454,68.89442944,72,3,4320
10.43167203,-84.00407899,OHH7171,7.604433136,103.6595408,620,34,37200
10.43180102,-84.00401898,OHH7172,15.88130993,114.9510823,1273,59,76380
10.43164403,-84.00555597,OHH7174,0.866733726,14.54465639,1398,58,83880
10.43127799,-84.00457302,OHH7176,1.061595028,34.61513159,56,2,3360
10.43128503,-84.00464896,OHH7177,9.356254662,27.97721818,3,1,180
10.43138604,-84.00533603,OHH7178,3.353077485,3.351562221,10,2,600
10.43158502,-84.00555898,OHH7179,1.566622447,17.53046093,9,2,540
10.43352996,-84.00748003,OHH7180,137.8746344,137.879091,122,2,7320
10.43085697,-84.00421604,OHH7182,5.141766704,42.05533413,48,5,2880
10.431681,-84.005504,OHH7183,5.215887306,7.669769846,413,13,24780
10.43169902,-84.00556703,OHH7185,0,13.0975302,40,3,2400
10.43170203,-84.00577197,OHH7186,0,33.4538211,45,3,2700
10.43165099,-84.00549503,OHH7187,7.050872778,8.139506352,2,1,120
10.43141596,-84.00532697,OHH7188,1.357320575,1.374356834,60,3,3600
10.43130599,-84.00523402,OHH7189,4.368945777,0,139,4,8340
10.43163297,-84.00554499,OHH7190,2.368553598,13.95094822,311,14,18660
10.43415701,-84.00807297,OHH7501,124.2220884,124.3153957,3,3,180
10.43423798,-84.00814698,OHH7502,123.1034078,123.1358254,298,137,17880
10.43423303,-84.00820498,OHH7503,128.0284911,128.0847495,520,6,31200
10.43067299,-84.00391798,OHH7505,0,55.03878271,1696,239,101760
10.43069,-84.00393097,OHH7510,0,55.31372998,31,8,1860
10.43123198,-84.00460697,OHH7511,4.937051739,28.77340657,9,7,540
10.43069403,-84.00381203,OHH7512,0,65.03494123,40,5,2400
10.43082202,-84.00407899,OHH7513,2.202696496,52.42931088,4,4,240
10.43256001,-84.00489698,OHH7514,51.42549959,51.3990784,771,48,46260
10.43322796,-84.00732304,OHH7517,139.8476001,139.8816462,40,9,2400
10.43322704,-84.00731399,OHH7518,138.9286014,138.9646383,3,3,180
10.43042203,-84.00659298,OHH7519,0,168.9857297,3,4,180
10.43351202,-84.00731801,OHH7520,127.6095563,127.6403821,2,4,120
10.430747,-84.00807104,OHH7521,82.83073062,306.5309442,3,5,180
10.43066603,-84.00815503,OHH7522,94.40809879,318.653584,68,50,4080
10.43574999,-84.02058497,OHH7523,129.7153733,129.7886701,246,131,14760
10.43846296,-84.01507898,OHH7525,125.1076342,125.1094159,399,406,23940
10.43846103,-84.01510002,OHH7526,125.2298014,125.2662303,292,22,17520
10.43850998,-84.01494998,OHH7528,120.3643558,120.3754326,15,8,900
10.43845299,-84.01501603,OHH7529,126.4902703,126.5065975,556,166,33360
10.43574203,-84.00917804,OHH7531,130.2108015,130.2461106,1265,433,75900
10.429567,-84.00996904,OHH7532,305.4757933,548.9183755,191,19,11460
10.42956004,-84.00996996,OHH7534,305.7527714,549.2660119,396,180,23760
10.42956004,-84.00460303,OHH7535,12.85498466,44.25273533,1181,342,70860
10.42947697,-84.00456497,OHH7540,22.94859659,45.67378415,418,18,25080
10.43709998,-84.01044002,OHH7544,121.8426027,121.9005523,951,233,57060
10.430732,-84.00389803,OHH7547,0,61.13681599,117,29,7020
10.43568101,-84.02077197,OHH7548,141.2023015,141.2499888,4,7,240
10.43130096,-84.004698,OHH7549,14.67318692,24.36034449,305,62,18300
10.43196598,-84.00471602,OHH7550,30.14902312,51.17466017,2,3,120
10.43770901,-84.012005,OHH7551,120.3928689,120.4471065,5,,300
10.43582199,-84.02049403,OHH7552,119.9786554,120.0373779,959,130,57540
10.43578402,-84.020504,OHH7556,124.3120019,124.3688912,969,264,58140
10.43760097,-84.01205001,OHH7558,132.8451845,132.8820679,742,235,44520
10.43836104,-84.01362003,OHH7560,156.0354986,156.0581304,356,35,21360
10.43052496,-84.00376299,OHH7562,12.53136616,56.13414328,2,9,120
10.43036998,-84.00323502,OHH7563,4.376721027,84.0243035,484,32,29040
10.43037501,-84.00325304,OHH7565,2.492289609,86.0618479,842,505,50520
10.43037099,-84.00325497,OHH7566,2.224103293,86.08825705,5,3,300
10.433411,-84.004511,OHH7701,114.109,114.130,1065,70,63900
10.433633,-84.004663,OHH7705,99.729,99.714,5,4,300
10.433643,-84.004628,OHH7706,103.650,103.637,3,3,180
10.431852,-84.004583,OHH7707,13.910,59.031,2,4,120
10.4317,-84.004153,OHH7708,0.000,97.561,1916,115,114960
10.431278,-84.004831,OHH7714,10.668,10.607,2,5,120
10.433774,-84.007648,OHH7718,127.768,127.772,488,170,29280
10.433742,-84.007644,OHH7719,130.315,130.332,577,436,34620
10.435836,-84.009126,OHH7721,122.462,122.492,2,4,120
10.430442,-84.011395,OHH7722,447.219,655.820,2,3,120
10.430472,-84.011166,OHH7723,421.903,631.590,793,157,47580
10.430351,-84.00343,OHH7724,0.000,74.929,666,335,39960
10.438205,-84.013148,OHH7725,186.472,186.492,32,14,1920
10.438249,-84.013356,OHH7726,176.653,176.652,1125,225,67500
10.439411,-84.012675,OHH7729,83.565,83.659,3,3,180
10.431009,-84.004295,OHH7730,0.000,44.225,132,40,7920
10.431,-84.004305,OHH7731,0.000,42.761,123,13,7380
10.430986,-84.004367,OHH7732,0.914,36.235,175,162,10500
10.430971,-84.00432,OHH7733,0.000,39.612,217,17,13020
10.430984,-84.004297,OHH7735,0.000,42.508,2,4,120
10.430983,-84.004321,OHH7736,0.000,40.258,1421,125,85260
10.432218,-84.004699,OHH7739,55.974,62.440,490,37,29400
10.432454,-84.004874,OHH7741,51.044,51.026,4,4,240
10.432744,-84.004989,OHH7742,46.612,46.596,149,27,8940
10.432735,-84.004947,OHH7743,50.830,50.837,195,58,11700
10.432724,-84.004981,OHH7744,46.919,46.927,155,43,9300
10.433486,-84.004658,OHH7745,98.808,98.813,2,3,120
10.433425,-84.004452,OHH7746,120.684,120.692,2,3,120
10.433499,-84.004629,OHH7747,102.103,102.091,65,12,3900
10.433469,-84.004644,OHH7748,100.166,100.174,19,7,1140
10.433565,-84.004618,OHH7749,103.962,103.932,15,37,900
10.433495,-84.004781,OHH7750,85.472,85.448,259,39,15540
10.433646,-84.004713,OHH7751,94.409,94.393,936,250,56160
10.432704,-84.004918,OHH7752,53.087,53.083,95,21,5700
10.4329,-84.004638,OHH7753,88.110,88.089,3,3,180
10.432911,-84.004678,OHH7754,84.133,84.148,32,11,1920
10.432945,-84.004782,OHH7755,74.112,74.113,946,188,56760
10.433353,-84.004604,OHH7760,103.425,103.417,350,118,21000
10.433438,-84.004639,OHH7761,100.403,100.402,49,22,2940
10.433401,-84.004637,OHH7762,100.256,100.277,71,20,4260
10.433425,-84.004633,OHH7763,100.928,100.923,186,79,11160
10.429389,-84.010121,OHH7764,326.590,571.048,42,22,2520
10.429399,-84.010143,OHH7765,328.606,572.964,839,110,50340
10.429349,-84.010169,OHH7767,332.881,577.475,3,4,180
10.42644,-84.001526,OHH7768,93.084,93.304,6,10,360
10.42646,-84.001531,OHH7769,91.170,91.418,482,8,28920
10.426451,-84.001507,OHH7771,91.278,91.460,195,97,11700
10.426446,-84.001507,OHH7772,91.806,91.984,130,30,7800
10.426459,-84.001528,OHH7773,91.166,91.407,2,4,120
10.432594,-84.004879,OHH7774,54.249,54.218,87,37,5220
10.432647,-84.004868,OHH7775,56.821,56.786,54,6,3240
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
